rented_at,season,weather,holiday,working_day,temp,feels_like,humidity,windspeed,casual,registered,rentals
2011-01-02T03:00,winter,mist,False,False,0.46,0.45,0.94,0.19,2,4,6
2011-01-02T04:00,winter,mist,False,False,0.46,0.45,0.94,0.19,2,1,3
2011-01-02T06:00,winter,light rain,False,False,0.42,0.42,0.77,0.3,0,2,2
2011-01-02T07:00,winter,mist,False,False,0.4,0.41,0.76,0.19,0,1,1
2011-01-02T08:00,winter,light rain,False,False,0.4,0.41,0.71,0.22,0,8,8
2011-01-02T09:00,winter,mist,False,False,0.38,0.39,0.76,0.22,1,19,20
2011-01-02T10:00,winter,mist,False,False,0.36,0.35,0.81,0.22,7,46,53
2011-01-02T11:00,winter,mist,False,False,0.36,0.33,0.71,0.25,16,54,70
2011-01-02T12:00,winter,mist,False,False,0.36,0.33,0.66,0.3,20,73,93
2011-01-02T13:00,winter,mist,False,False,0.36,0.35,0.66,0.13,11,64,75
2011-01-02T14:00,winter,light rain,False,False,0.36,0.35,0.76,0.19,4,55,59
2011-01-02T15:00,winter,light rain,False,False,0.34,0.33,0.81,0.16,19,55,74
2011-01-02T16:00,winter,light rain,False,False,0.34,0.33,0.71,0.16,9,67,76
2011-01-02T17:00,winter,clear,False,False,0.34,0.33,0.57,0.19,7,58,65
2011-01-02T18:00,winter,mist,False,False,0.36,0.33,0.46,0.33,10,43,53
2011-01-02T19:00,winter,clear,False,False,0.32,0.29,0.42,0.45,1,29,30
2011-01-02T20:00,winter,clear,False,False,0.3,0.27,0.39,0.36,5,17,22
2011-01-02T21:00,winter,clear,False,False,0.26,0.23,0.44,0.33,11,20,31
2011-01-02T22:00,winter,clear,False,False,0.24,0.21,0.44,0.3,0,9,9
2011-01-02T23:00,winter,clear,False,False,0.22,0.23,0.47,0.16,0,8,8
2011-01-03T00:00,winter,clear,False,True,0.22,0.2,0.44,0.36,0,5,5
2011-01-03T01:00,winter,clear,False,True,0.2,0.17,0.44,0.42,0,2,2
2011-01-03T04:00,winter,clear,False,True,0.16,0.14,0.47,0.39,0,1,1
2011-01-03T05:00,winter,clear,False,True,0.16,0.14,0.47,0.28,0,3,3
2011-01-03T06:00,winter,clear,False,True,0.14,0.11,0.5,0.39,0,30,30
2011-01-03T07:00,winter,clear,False,True,0.14,0.14,0.5,0.19,1,63,64
2011-01-03T08:00,winter,clear,False,True,0.14,0.12,0.5,0.28,1,153,154
2011-01-03T09:00,winter,clear,False,True,0.16,0.14,0.43,0.39,7,81,88
2011-01-03T10:00,winter,clear,False,True,0.18,0.17,0.43,0.25,11,33,44
2011-01-03T11:00,winter,clear,False,True,0.2,0.18,0.4,0.33,10,41,51
2011-01-03T12:00,winter,clear,False,True,0.22,0.21,0.35,0.3,13,48,61
2011-01-03T13:00,winter,clear,False,True,0.24,0.21,0.35,0.28,8,53,61
2011-01-03T14:00,winter,clear,False,True,0.26,0.24,0.3,0.28,11,66,77
2011-01-03T15:00,winter,clear,False,True,0.26,0.24,0.3,0.25,14,58,72
2011-01-03T16:00,winter,clear,False,True,0.26,0.24,0.3,0.25,9,67,76
2011-01-03T17:00,winter,clear,False,True,0.24,0.23,0.3,0.22,11,146,157
2011-01-03T18:00,winter,clear,False,True,0.24,0.26,0.32,0.1,9,148,157
2011-01-03T19:00,winter,clear,False,True,0.2,0.26,0.47,0.0,8,102,110
2011-01-03T20:00,winter,clear,False,True,0.2,0.23,0.47,0.1,3,49,52
2011-01-03T21:00,winter,clear,False,True,0.18,0.2,0.64,0.13,3,49,52
2011-01-03T22:00,winter,clear,False,True,0.14,0.15,0.69,0.13,0,20,20
2011-01-03T23:00,winter,clear,False,True,0.18,0.21,0.55,0.1,1,11,12
2011-01-04T00:00,winter,clear,False,True,0.16,0.18,0.55,0.1,0,5,5
2011-01-04T01:00,winter,clear,False,True,0.16,0.18,0.59,0.1,0,2,2
2011-01-04T02:00,winter,clear,False,True,0.14,0.15,0.63,0.13,0,1,1
2011-01-04T04:00,winter,clear,False,True,0.14,0.18,0.63,0.09,0,2,2
2011-01-04T05:00,winter,clear,False,True,0.12,0.15,0.68,0.1,0,4,4
2011-01-04T06:00,winter,clear,False,True,0.12,0.15,0.74,0.1,0,36,36
2011-01-04T07:00,winter,clear,False,True,0.12,0.15,0.74,0.13,2,92,94
2011-01-04T08:00,winter,clear,False,True,0.14,0.15,0.69,0.16,2,177,179
2011-01-04T09:00,winter,clear,False,True,0.16,0.15,0.64,0.22,2,98,100
2011-01-04T10:00,winter,mist,False,True,0.16,0.14,0.69,0.33,5,37,42
2011-01-04T11:00,winter,clear,False,True,0.22,0.21,0.51,0.3,7,50,57
2011-01-04T12:00,winter,clear,False,True,0.22,0.23,0.51,0.16,12,66,78
2011-01-04T13:00,winter,clear,False,True,0.24,0.23,0.56,0.19,18,79,97
2011-01-04T14:00,winter,clear,False,True,0.26,0.26,0.52,0.22,9,54,63
2011-01-04T15:00,winter,clear,False,True,0.28,0.27,0.52,0.25,17,48,65
2011-01-04T16:00,winter,clear,False,True,0.3,0.29,0.49,0.25,15,68,83
2011-01-04T17:00,winter,clear,False,True,0.28,0.27,0.48,0.22,10,202,212
2011-01-04T18:00,winter,clear,False,True,0.26,0.26,0.48,0.19,3,179,182
2011-01-04T19:00,winter,clear,False,True,0.24,0.26,0.48,0.1,2,110,112
2011-01-04T20:00,winter,clear,False,True,0.24,0.26,0.48,0.1,1,53,54
2011-01-04T21:00,winter,clear,False,True,0.22,0.27,0.64,0.0,0,48,48
2011-01-04T22:00,winter,clear,False,True,0.22,0.26,0.64,0.09,1,34,35
2011-01-04T23:00,winter,clear,False,True,0.2,0.23,0.69,0.09,2,9,11
2011-01-05T00:00,winter,clear,False,True,0.2,0.26,0.64,0.0,0,6,6
2011-01-05T01:00,winter,clear,False,True,0.16,0.2,0.74,0.09,0,6,6
2011-01-05T02:00,winter,clear,False,True,0.16,0.2,0.74,0.09,0,2,2
2011-01-05T04:00,winter,clear,False,True,0.24,0.23,0.48,0.22,0,2,2
2011-01-05T05:00,winter,clear,False,True,0.22,0.23,0.47,0.16,0,3,3
2011-01-05T06:00,winter,clear,False,True,0.2,0.2,0.47,0.22,0,33,33
2011-01-05T07:00,winter,clear,False,True,0.18,0.18,0.43,0.19,1,87,88
2011-01-05T08:00,winter,clear,False,True,0.2,0.18,0.4,0.3,3,192,195
2011-01-05T09:00,winter,clear,False,True,0.22,0.2,0.37,0.33,6,109,115
2011-01-05T10:00,winter,clear,False,True,0.22,0.2,0.37,0.33,4,53,57
2011-01-05T11:00,winter,clear,False,True,0.26,0.23,0.33,0.33,12,34,46
2011-01-05T12:00,winter,clear,False,True,0.26,0.23,0.33,0.33,5,74,79
2011-01-05T13:00,winter,clear,False,True,0.28,0.26,0.3,0.3,6,65,71
2011-01-05T14:00,winter,clear,False,True,0.3,0.29,0.28,0.19,10,52,62
2011-01-05T15:00,winter,clear,False,True,0.3,0.29,0.28,0.19,7,55,62
2011-01-05T16:00,winter,clear,False,True,0.3,0.32,0.28,0.09,4,85,89
2011-01-05T17:00,winter,clear,False,True,0.24,0.23,0.38,0.19,4,186,190
2011-01-05T18:00,winter,clear,False,True,0.24,0.24,0.38,0.13,3,166,169
2011-01-05T19:00,winter,clear,False,True,0.24,0.26,0.38,0.1,5,127,132
2011-01-05T20:00,winter,clear,False,True,0.22,0.23,0.47,0.16,7,82,89
2011-01-05T21:00,winter,clear,False,True,0.2,0.2,0.51,0.19,3,40,43
2011-01-05T22:00,winter,clear,False,True,0.18,0.2,0.55,0.13,1,41,42
2011-01-05T23:00,winter,clear,False,True,0.2,0.26,0.47,0.0,1,18,19
2011-01-06T00:00,winter,clear,False,True,0.18,0.24,0.55,0.0,0,11,11
2011-01-06T01:00,winter,clear,False,True,0.16,0.23,0.64,0.0,0,4,4
2011-01-06T02:00,winter,clear,False,True,0.16,0.23,0.64,0.0,0,2,2
2011-01-06T04:00,winter,mist,False,True,0.16,0.2,0.64,0.09,0,1,1
2011-01-06T05:00,winter,mist,False,True,0.14,0.18,0.69,0.09,0,4,4
2011-01-06T06:00,winter,mist,False,True,0.14,0.17,0.63,0.1,0,36,36
2011-01-06T07:00,winter,mist,False,True,0.16,0.23,0.59,0.0,0,95,95
2011-01-06T08:00,winter,clear,False,True,0.16,0.23,0.59,0.0,3,216,219
2011-01-06T09:00,winter,mist,False,True,0.18,0.24,0.51,0.0,6,116,122
2011-01-06T10:00,winter,clear,False,True,0.2,0.26,0.47,0.0,3,42,45
2011-01-06T11:00,winter,clear,False,True,0.22,0.26,0.44,0.09,2,57,59
2011-01-06T12:00,winter,clear,False,True,0.26,0.29,0.35,0.0,6,78,84
2011-01-06T13:00,winter,clear,False,True,0.26,0.27,0.35,0.1,12,55,67
2011-01-06T14:00,winter,clear,False,True,0.28,0.27,0.36,0.16,11,59,70
2011-01-06T15:00,winter,clear,False,True,0.28,0.27,0.36,0.0,8,54,62
2011-01-06T16:00,winter,clear,False,True,0.26,0.26,0.38,0.16,12,74,86
2011-01-06T17:00,winter,clear,False,True,0.22,0.23,0.51,0.16,9,163,172
2011-01-06T18:00,winter,clear,False,True,0.22,0.23,0.51,0.13,5,158,163
2011-01-06T19:00,winter,clear,False,True,0.22,0.26,0.55,0.09,3,109,112
2011-01-06T20:00,winter,clear,False,True,0.2,0.21,0.51,0.16,3,66,69
2011-01-06T21:00,winter,mist,False,True,0.22,0.21,0.55,0.22,0,48,48
2011-01-06T22:00,winter,mist,False,True,0.22,0.21,0.51,0.28,1,51,52
2011-01-06T23:00,winter,mist,False,True,0.2,0.2,0.59,0.19,4,19,23
2011-01-07T00:00,winter,mist,False,True,0.2,0.2,0.64,0.19,4,13,17
2011-01-07T01:00,winter,mist,False,True,0.2,0.2,0.69,0.22,2,5,7
2011-01-07T02:00,winter,mist,False,True,0.2,0.2,0.69,0.22,0,1,1
2011-01-07T04:00,winter,mist,False,True,0.2,0.21,0.69,0.13,0,1,1
2011-01-07T05:00,winter,light rain,False,True,0.22,0.27,0.55,0.0,0,5,5
2011-01-07T06:00,winter,mist,False,True,0.2,0.26,0.69,0.0,8,26,34
2011-01-07T07:00,winter,clear,False,True,0.2,0.21,0.69,0.13,8,76,84
2011-01-07T08:00,winter,clear,False,True,0.2,0.2,0.51,0.25,20,190,210
2011-01-07T09:00,winter,clear,False,True,0.2,0.18,0.47,0.3,9,125,134
2011-01-07T10:00,winter,clear,False,True,0.22,0.2,0.37,0.33,16,47,63
2011-01-07T11:00,winter,mist,False,True,0.2,0.2,0.4,0.22,19,48,67
2011-01-07T12:00,winter,mist,False,True,0.2,0.2,0.37,0.25,9,50,59
2011-01-07T13:00,winter,mist,False,True,0.2,0.18,0.37,0.28,9,64,73
2011-01-07T14:00,winter,mist,False,True,0.2,0.2,0.4,0.25,7,43,50
2011-01-07T15:00,winter,mist,False,True,0.2,0.21,0.37,0.16,9,63,72
2011-01-07T16:00,winter,mist,False,True,0.2,0.21,0.37,0.16,5,82,87
2011-01-07T17:00,winter,mist,False,True,0.2,0.26,0.37,0.0,9,178,187
2011-01-07T18:00,winter,clear,False,True,0.2,0.23,0.4,0.09,7,116,123
2011-01-07T19:00,winter,clear,False,True,0.16,0.2,0.55,0.09,3,92,95
2011-01-07T20:00,winter,clear,False,True,0.18,0.21,0.47,0.1,1,50,51
2011-01-07T21:00,winter,clear,False,True,0.18,0.2,0.47,0.13,0,39,39
2011-01-07T22:00,winter,mist,False,True,0.18,0.2,0.43,0.16,2,34,36
2011-01-07T23:00,winter,mist,False,True,0.18,0.2,0.51,0.16,1,14,15
2011-01-08T00:00,winter,mist,False,False,0.18,0.2,0.51,0.16,1,24,25
2011-01-08T01:00,winter,mist,False,False,0.18,0.21,0.55,0.09,1,15,16
2011-01-08T02:00,winter,mist,False,False,0.18,0.24,0.55,0.0,3,13,16
2011-01-08T03:00,winter,light rain,False,False,0.18,0.2,0.55,0.16,0,7,7
2011-01-08T04:00,winter,light rain,False,False,0.18,0.2,0.55,0.16,0,1,1
2011-01-08T05:00,winter,mist,False,False,0.16,0.17,0.74,0.16,0,5,5
2011-01-08T06:00,winter,mist,False,False,0.16,0.17,0.74,0.16,0,2,2
2011-01-08T07:00,winter,mist,False,False,0.16,0.18,0.74,0.1,1,8,9
2011-01-08T08:00,winter,light rain,False,False,0.16,0.18,0.93,0.1,0,15,15
2011-01-08T09:00,winter,light rain,False,False,0.16,0.18,0.93,0.1,0,20,20
2011-01-08T10:00,winter,mist,False,False,0.18,0.2,0.8,0.16,5,56,61
2011-01-08T11:00,winter,mist,False,False,0.2,0.18,0.69,0.39,2,60,62
2011-01-08T12:00,winter,mist,False,False,0.2,0.18,0.59,0.36,8,90,98
2011-01-08T13:00,winter,clear,False,False,0.2,0.18,0.44,0.33,7,95,102
2011-01-08T14:00,winter,clear,False,False,0.2,0.17,0.32,0.49,12,83,95
2011-01-08T15:00,winter,clear,False,False,0.2,0.17,0.32,0.45,5,69,74
2011-01-08T16:00,winter,clear,False,False,0.18,0.14,0.29,0.45,8,68,76
2011-01-08T17:00,winter,clear,False,False,0.16,0.12,0.37,0.55,5,64,69
2011-01-08T18:00,winter,clear,False,False,0.14,0.12,0.39,0.3,3,52,55
2011-01-08T19:00,winter,clear,False,False,0.14,0.12,0.36,0.25,4,26,30
2011-01-08T20:00,winter,clear,False,False,0.12,0.12,0.36,0.25,0,28,28
2011-01-08T21:00,winter,clear,False,False,0.12,0.11,0.39,0.36,2,35,37
2011-01-08T22:00,winter,clear,False,False,0.12,0.11,0.36,0.39,1,33,34
2011-01-08T23:00,winter,clear,False,False,0.1,0.06,0.39,0.45,0,22,22
2011-01-09T00:00,winter,clear,False,False,0.1,0.08,0.42,0.39,1,24,25
2011-01-09T01:00,winter,clear,False,False,0.1,0.06,0.42,0.46,0,12,12
2011-01-09T02:00,winter,clear,False,False,0.1,0.06,0.46,0.46,0,11,11
2011-01-09T03:00,winter,clear,False,False,0.1,0.08,0.46,0.42,0,4,4
2011-01-09T04:00,winter,clear,False,False,0.08,0.09,0.53,0.19,0,1,1
2011-01-09T05:00,winter,clear,False,False,0.08,0.09,0.53,0.19,0,1,1
2011-01-09T06:00,winter,clear,False,False,0.1,0.09,0.49,0.28,0,1,1
2011-01-09T07:00,winter,clear,False,False,0.08,0.09,0.53,0.19,1,5,6
2011-01-09T08:00,winter,clear,False,False,0.1,0.09,0.49,0.28,0,10,10
2011-01-09T09:00,winter,clear,False,False,0.12,0.08,0.46,0.52,0,19,19
2011-01-09T10:00,winter,clear,False,False,0.14,0.11,0.43,0.39,0,49,49
2011-01-09T11:00,winter,clear,False,False,0.16,0.12,0.4,0.52,2,47,49
2011-01-09T12:00,winter,clear,False,False,0.18,0.14,0.37,0.45,4,79,83
2011-01-09T13:00,winter,clear,False,False,0.2,0.17,0.34,0.45,6,69,75
2011-01-09T14:00,winter,clear,False,False,0.22,0.18,0.32,0.46,8,64,72
2011-01-09T15:00,winter,clear,False,False,0.22,0.2,0.35,0.36,5,77,82
2011-01-09T16:00,winter,clear,False,False,0.2,0.17,0.34,0.45,13,79,92
2011-01-09T17:00,winter,clear,False,False,0.18,0.15,0.37,0.39,3,59,62
2011-01-09T18:00,winter,clear,False,False,0.16,0.14,0.4,0.33,4,44,48
2011-01-09T19:00,winter,clear,False,False,0.16,0.14,0.43,0.33,1,40,41
2011-01-09T20:00,winter,clear,False,False,0.14,0.12,0.46,0.25,0,38,38
2011-01-09T21:00,winter,clear,False,False,0.14,0.11,0.46,0.42,1,19,20
2011-01-09T22:00,winter,clear,False,False,0.14,0.12,0.46,0.3,5,10,15
2011-01-09T23:00,winter,clear,False,False,0.12,0.14,0.5,0.19,0,6,6
2011-01-10T00:00,winter,clear,False,True,0.12,0.12,0.5,0.28,2,3,5
2011-01-10T01:00,winter,clear,False,True,0.12,0.12,0.5,0.28,1,0,1
2011-01-10T02:00,winter,clear,False,True,0.12,0.12,0.5,0.22,0,3,3
2011-01-10T03:00,winter,clear,False,True,0.12,0.12,0.5,0.22,0,1,1
2011-01-10T04:00,winter,clear,False,True,0.1,0.12,0.54,0.13,1,2,3
2011-01-10T05:00,winter,clear,False,True,0.1,0.11,0.54,0.25,0,3,3
2011-01-10T06:00,winter,clear,False,True,0.12,0.12,0.5,0.28,0,31,31
2011-01-10T07:00,winter,clear,False,True,0.12,0.12,0.5,0.22,2,75,77
2011-01-10T08:00,winter,mist,False,True,0.12,0.12,0.5,0.28,4,184,188
2011-01-10T09:00,winter,mist,False,True,0.14,0.12,0.5,0.25,2,92,94
2011-01-10T10:00,winter,mist,False,True,0.14,0.12,0.5,0.3,0,31,31
2011-01-10T11:00,winter,mist,False,True,0.16,0.14,0.47,0.28,2,28,30
2011-01-10T12:00,winter,mist,False,True,0.2,0.18,0.4,0.28,5,47,52
2011-01-10T13:00,winter,mist,False,True,0.2,0.18,0.4,0.28,4,50,54
2011-01-10T14:00,winter,mist,False,True,0.2,0.2,0.4,0.22,0,47,47
2011-01-10T15:00,winter,mist,False,True,0.2,0.2,0.4,0.22,2,43,45
2011-01-10T16:00,winter,clear,False,True,0.2,0.21,0.4,0.13,4,70,74
2011-01-10T17:00,winter,clear,False,True,0.2,0.23,0.4,0.1,4,174,178
2011-01-10T18:00,winter,clear,False,True,0.2,0.2,0.4,0.22,1,154,155
2011-01-10T19:00,winter,clear,False,True,0.16,0.17,0.47,0.16,3,92,95
2011-01-10T20:00,winter,clear,False,True,0.16,0.17,0.5,0.16,1,73,74
2011-01-10T21:00,winter,clear,False,True,0.14,0.14,0.59,0.19,1,37,38
2011-01-10T22:00,winter,clear,False,True,0.14,0.15,0.59,0.16,2,22,24
2011-01-10T23:00,winter,clear,False,True,0.14,0.15,0.59,0.16,0,18,18
2011-01-11T00:00,winter,clear,False,True,0.14,0.17,0.59,0.1,2,10,12
2011-01-11T01:00,winter,clear,False,True,0.14,0.15,0.59,0.16,0,3,3
2011-01-11T02:00,winter,mist,False,True,0.16,0.15,0.55,0.19,0,3,3
2011-01-11T05:00,winter,mist,False,True,0.16,0.18,0.55,0.13,0,6,6
2011-01-11T06:00,winter,mist,False,True,0.16,0.18,0.55,0.13,0,27,27
2011-01-11T07:00,winter,mist,False,True,0.16,0.23,0.55,0.0,2,97,99
2011-01-11T08:00,winter,mist,False,True,0.18,0.21,0.51,0.09,3,214,217
2011-01-11T09:00,winter,mist,False,True,0.18,0.2,0.51,0.16,3,127,130
2011-01-11T10:00,winter,mist,False,True,0.2,0.21,0.51,0.16,3,51,54
2011-01-11T11:00,winter,mist,False,True,0.2,0.21,0.47,0.13,4,31,35
2011-01-11T12:00,winter,mist,False,True,0.2,0.23,0.51,0.1,2,55,57
2011-01-11T13:00,winter,mist,False,True,0.2,0.23,0.59,0.09,6,46,52
2011-01-11T14:00,winter,mist,False,True,0.2,0.23,0.59,0.09,3,60,63
2011-01-11T15:00,winter,mist,False,True,0.16,0.2,0.8,0.09,2,45,47
2011-01-11T16:00,winter,mist,False,True,0.16,0.15,0.86,0.22,4,72,76
2011-01-11T17:00,winter,mist,False,True,0.16,0.15,0.86,0.22,6,130,136
2011-01-11T18:00,winter,light rain,False,True,0.16,0.18,0.93,0.1,1,94,95
2011-01-11T19:00,winter,light rain,False,True,0.16,0.23,0.93,0.0,0,51,51
2011-01-11T20:00,winter,light rain,False,True,0.16,0.15,0.93,0.19,0,32,32
2011-01-11T21:00,winter,light rain,False,True,0.16,0.2,0.86,0.09,0,20,20
2011-01-11T22:00,winter,light rain,False,True,0.16,0.18,0.93,0.1,1,28,29
2011-01-11T23:00,winter,light rain,False,True,0.16,0.2,0.93,0.09,1,18,19
2011-01-12T00:00,winter,mist,False,True,0.16,0.2,0.86,0.09,0,7,7
2011-01-12T01:00,winter,mist,False,True,0.16,0.18,0.86,0.1,0,6,6
2011-01-12T02:00,winter,clear,False,True,0.14,0.15,0.86,0.13,0,1,1
2011-01-12T05:00,winter,clear,False,True,0.14,0.15,0.86,0.16,0,5,5
2011-01-12T06:00,winter,clear,False,True,0.12,0.15,0.93,0.13,0,16,16
2011-01-12T07:00,winter,clear,False,True,0.14,0.15,0.69,0.13,0,54,54
2011-01-12T08:00,winter,clear,False,True,0.16,0.17,0.59,0.16,3,125,128
2011-01-12T09:00,winter,clear,False,True,0.16,0.14,0.59,0.33,3,78,81
2011-01-12T10:00,winter,clear,False,True,0.18,0.18,0.55,0.22,0,39,39
2011-01-12T11:00,winter,clear,False,True,0.2,0.18,0.51,0.39,3,32,35
2011-01-12T12:00,winter,clear,False,True,0.2,0.15,0.47,0.58,3,52,55
2011-01-12T13:00,winter,clear,False,True,0.22,0.2,0.44,0.36,0,49,49
2011-01-12T14:00,winter,clear,False,True,0.2,0.18,0.47,0.33,0,44,44
2011-01-12T15:00,winter,clear,False,True,0.2,0.17,0.47,0.42,1,48,49
2011-01-12T16:00,winter,clear,False,True,0.22,0.2,0.44,0.33,5,63,68
2011-01-12T17:00,winter,clear,False,True,0.2,0.18,0.47,0.36,0,139,139
2011-01-12T18:00,winter,clear,False,True,0.2,0.15,0.47,0.52,2,135,137
2011-01-12T19:00,winter,clear,False,True,0.18,0.15,0.47,0.42,1,82,83
2011-01-12T20:00,winter,clear,False,True,0.16,0.14,0.5,0.33,2,54,56
2011-01-12T21:00,winter,clear,False,True,0.16,0.14,0.55,0.33,0,57,57
2011-01-12T22:00,winter,clear,False,True,0.16,0.12,0.55,0.45,1,32,33
2011-01-12T23:00,winter,clear,False,True,0.14,0.11,0.59,0.42,1,19,20
2011-01-13T00:00,winter,clear,False,True,0.14,0.12,0.59,0.28,1,6,7
2011-01-13T01:00,winter,clear,False,True,0.14,0.12,0.5,0.28,0,2,2
2011-01-13T02:00,winter,clear,False,True,0.14,0.12,0.5,0.36,0,2,2
2011-01-13T03:00,winter,clear,False,True,0.14,0.12,0.5,0.33,0,3,3
2011-01-13T04:00,winter,clear,False,True,0.14,0.12,0.5,0.25,0,4,4
2011-01-13T05:00,winter,clear,False,True,0.14,0.12,0.5,0.3,0,3,3
2011-01-13T06:00,winter,clear,False,True,0.12,0.15,0.54,0.13,0,28,28
2011-01-13T07:00,winter,clear,False,True,0.12,0.15,0.54,0.13,0,72,72
2011-01-13T08:00,winter,clear,False,True,0.14,0.14,0.5,0.19,5,197,202
2011-01-13T09:00,winter,clear,False,True,0.14,0.12,0.5,0.33,2,137,139
2011-01-13T10:00,winter,mist,False,True,0.16,0.14,0.5,0.36,2,36,38
2011-01-13T11:00,winter,mist,False,True,0.2,0.17,0.44,0.45,4,33,37
2011-01-13T12:00,winter,clear,False,True,0.2,0.17,0.44,0.42,3,49,52
2011-01-13T13:00,winter,clear,False,True,0.22,0.2,0.41,0.45,2,81,83
2011-01-13T14:00,winter,clear,False,True,0.22,0.2,0.41,0.39,3,39,42
2011-01-13T15:00,winter,clear,False,True,0.24,0.21,0.38,0.3,5,55,60
2011-01-13T16:00,winter,clear,False,True,0.24,0.21,0.38,0.36,2,76,78
2011-01-13T17:00,winter,clear,False,True,0.2,0.18,0.4,0.28,4,158,162
2011-01-13T18:00,winter,clear,False,True,0.2,0.18,0.4,0.33,3,141,144
2011-01-13T19:00,winter,clear,False,True,0.16,0.15,0.47,0.25,1,98,99
2011-01-13T20:00,winter,clear,False,True,0.16,0.15,0.47,0.22,0,64,64
2011-01-13T21:00,winter,clear,False,True,0.14,0.12,0.46,0.3,0,40,40
2011-01-13T22:00,winter,clear,False,True,0.14,0.12,0.46,0.33,0,30,30
2011-01-13T23:00,winter,clear,False,True,0.12,0.14,0.5,0.19,1,14,15
2011-01-14T00:00,winter,clear,False,True,0.12,0.14,0.5,0.19,0,14,14
2011-01-14T01:00,winter,clear,False,True,0.1,0.12,0.54,0.16,0,5,5
2011-01-14T02:00,winter,clear,False,True,0.1,0.12,0.54,0.13,0,1,1
2011-01-14T03:00,winter,clear,False,True,0.1,0.14,0.54,0.1,0,1,1
2011-01-14T05:00,winter,clear,False,True,0.1,0.14,0.54,0.09,0,8,8
2011-01-14T06:00,winter,clear,False,True,0.1,0.18,0.54,0.0,0,17,17
2011-01-14T07:00,winter,clear,False,True,0.1,0.12,0.74,0.16,0,70,70
2011-01-14T08:00,winter,clear,False,True,0.12,0.17,0.68,0.0,2,156,158
2011-01-14T09:00,winter,clear,False,True,0.14,0.15,0.69,0.13,0,117,117
2011-01-14T10:00,winter,clear,False,True,0.18,0.18,0.55,0.19,4,40,44
2011-01-14T11:00,winter,clear,False,True,0.18,0.17,0.51,0.28,6,47,53
2011-01-14T12:00,winter,clear,False,True,0.2,0.2,0.44,0.25,2,59,61
2011-01-14T13:00,winter,clear,False,True,0.22,0.2,0.37,0.39,4,73,77
2011-01-14T14:00,winter,clear,False,True,0.22,0.21,0.41,0.28,5,59,64
2011-01-14T15:00,winter,clear,False,True,0.24,0.24,0.38,0.16,9,59,68
2011-01-14T16:00,winter,clear,False,True,0.22,0.24,0.41,0.1,3,87,90
2011-01-14T17:00,winter,clear,False,True,0.22,0.23,0.41,0.16,4,155,159
2011-01-14T18:00,winter,clear,False,True,0.2,0.26,0.47,0.0,5,134,139
2011-01-14T19:00,winter,clear,False,True,0.16,0.2,0.59,0.09,3,89,92
2011-01-14T20:00,winter,clear,False,True,0.18,0.24,0.59,0.0,0,68,68
2011-01-14T21:00,winter,clear,False,True,0.16,0.23,0.69,0.0,4,48,52
2011-01-14T22:00,winter,mist,False,True,0.16,0.23,0.69,0.0,2,34,36
